Year,Month,Day,Period,Value
2025,6,12,1,7.3904105856955
2025,6,12,2,7.3904105856955
2025,6,12,3,7.3904105856955
2025,6,12,4,7.873469786995999
2025,6,12,5,7.3783545764005
2025,6,12,6,7.3783545764005
2025,6,12,7,7.3783545764005
2025,6,12,8,6.880351705078501
2025,6,12,9,6.803566078495999
2025,6,12,10,6.323518664903
2025,6,12,11,6.323518664903
2025,6,12,12,6.323518664903
2025,6,12,13,6.044535555586001
2025,6,12,14,6.044535555586001
2025,6,12,15,6.044535555586001
2025,6,12,16,6.044535555586001
2025,6,12,17,6.145833187570999
2025,6,12,18,6.145833187570999
2025,6,12,19,6.145833187570999
2025,6,12,20,6.145833187570999
2025,6,12,21,5.592137743384499
2025,6,12,22,5.592137743384499
2025,6,12,23,5.1055183611574995
2025,6,12,24,5.1055183611574995
2025,6,12,25,5.212286221829499
2025,6,12,26,5.212286221829499
2025,6,12,27,5.212286221829499
2025,6,12,28,5.212286221829499
2025,6,12,29,4.5988960949195
2025,6,12,30,4.5988960949195
2025,6,12,31,4.5988960949195
2025,6,12,32,4.5988960949195
2025,6,12,33,4.531409289439999
2025,6,12,34,4.531409289439999
2025,6,12,35,5.011324006842999
2025,6,12,36,5.011324006842999
2025,6,12,37,5.1238936739705
2025,6,12,38,5.1238936739705
2025,6,12,39,5.6097500531049995
2025,6,12,40,5.6097500531049995
2025,6,12,41,5.7486292166545
2025,6,12,42,6.2523886439465
2025,6,12,43,6.2523886439465
2025,6,12,44,6.2523886439465
2025,6,12,45,6.0888253315175
2025,6,12,46,6.0888253315175
2025,6,12,47,6.0888253315175
2025,6,12,48,6.0888253315175
2025,6,12,49,6.651849679431
2025,6,12,50,6.651849679431
2025,6,12,51,6.651849679431
2025,6,12,52,6.651849679431
2025,6,12,53,6.920882671604
2025,6,12,54,6.920882671604
2025,6,12,55,6.920882671604
2025,6,12,56,6.920882671604
2025,6,12,57,6.881110297017
2025,6,12,58,7.381473388827999
2025,6,12,59,7.381473388827999
2025,6,12,60,7.381473388827999
2025,6,12,61,7.451504417769501
2025,6,12,62,7.451504417769501
2025,6,12,63,7.451504417769501
2025,6,12,64,7.451504417769501
2025,6,12,65,7.3242691279505
2025,6,12,66,7.3242691279505
2025,6,12,67,7.3242691279505
2025,6,12,68,7.3242691279505
2025,6,12,69,6.670903044465
2025,6,12,70,6.670903044465
2025,6,12,71,6.670903044465
2025,6,12,72,6.670903044465
2025,6,12,73,6.273653841141499
2025,6,12,74,6.273653841141499
2025,6,12,75,6.273653841141499
2025,6,12,76,6.273653841141499
2025,6,12,77,6.345449223212
2025,6,12,78,6.345449223212
2025,6,12,79,6.345449223212
2025,6,12,80,6.345449223212
2025,6,12,81,6.718187542000001
2025,6,12,82,6.718187542000001
2025,6,12,83,6.718187542000001
2025,6,12,84,7.1936733703944995
2025,6,12,85,7.027279796476499
2025,6,12,86,7.5654654966495
2025,6,12,87,7.7151802803514995
2025,6,12,88,7.568621840042999
2025,6,12,89,7.58492217494
2025,6,12,90,7.58492217494
2025,6,12,91,8.1027403296785
2025,6,12,92,8.1027403296785
2025,6,12,93,8.1526432448395
2025,6,12,94,8.1526432448395
2025,6,12,95,8.1526432448395
2025,6,12,96,7.6766476208235
