Year,Month,Day,Period,Value
2025,6,12,1,9.63545651266
2025,6,12,2,9.63545651266
2025,6,12,3,9.2509672954215
2025,6,12,4,9.2509672954215
2025,6,12,5,8.9097212535925
2025,6,12,6,8.9097212535925
2025,6,12,7,8.9097212535925
2025,6,12,8,8.5137260835
2025,6,12,9,8.3939725628275
2025,6,12,10,8.3939725628275
2025,6,12,11,8.3939725628275
2025,6,12,12,8.3939725628275
2025,6,12,13,7.902285704736499
2025,6,12,14,7.902285704736499
2025,6,12,15,7.902285704736499
2025,6,12,16,7.902285704736499
2025,6,12,17,7.7379466800295
2025,6,12,18,7.7379466800295
2025,6,12,19,7.7379466800295
2025,6,12,20,7.7379466800295
2025,6,12,21,7.435223951144
2025,6,12,22,7.435223951144
2025,6,12,23,7.435223951144
2025,6,12,24,7.435223951144
2025,6,12,25,7.2804709245125
2025,6,12,26,7.2804709245125
2025,6,12,27,7.2804709245125
2025,6,12,28,7.2804709245125
2025,6,12,29,7.182764369610501
2025,6,12,30,7.182764369610501
2025,6,12,31,7.182764369610501
2025,6,12,32,6.053855618926499
2025,6,12,33,7.3003562801949995
2025,6,12,34,7.3003562801949995
2025,6,12,35,7.718656631273499
2025,6,12,36,7.718656631273499
2025,6,12,37,8.3999134110265
2025,6,12,38,8.8155638698105
2025,6,12,39,9.214638712378001
2025,6,12,40,9.214638712378001
2025,6,12,41,9.735057079693
2025,6,12,42,9.735057079693
2025,6,12,43,10.14184650633
2025,6,12,44,10.522656911524999
2025,6,12,45,10.694657550296501
2025,6,12,46,10.694657550296501
2025,6,12,47,10.694657550296501
2025,6,12,48,10.694657550296501
2025,6,12,49,10.632912151003998
2025,6,12,50,10.632912151003998
2025,6,12,51,10.632912151003998
2025,6,12,52,10.632912151003998
2025,6,12,53,10.7648121457855
2025,6,12,54,10.7648121457855
2025,6,12,55,10.7648121457855
2025,6,12,56,10.7648121457855
2025,6,12,57,10.771410617500502
2025,6,12,58,11.201220790231998
2025,6,12,59,11.201220790231998
2025,6,12,60,11.201220790231998
2025,6,12,61,11.106075832230498
2025,6,12,62,11.106075832230498
2025,6,12,63,10.703232255160499
2025,6,12,64,10.703232255160499
2025,6,12,65,10.482535314553498
2025,6,12,66,10.482535314553498
2025,6,12,67,10.482535314553498
2025,6,12,68,10.0725801617815
2025,6,12,69,10.140964872120499
2025,6,12,70,10.140964872120499
2025,6,12,71,9.7392147912015
2025,6,12,72,9.7392147912015
2025,6,12,73,9.6745607601225
2025,6,12,74,9.6745607601225
2025,6,12,75,9.6745607601225
2025,6,12,76,9.6745607601225
2025,6,12,77,9.619621265254
2025,6,12,78,9.619621265254
2025,6,12,79,10.016141127651998
2025,6,12,80,10.397614688384
2025,6,12,81,10.374885259238502
2025,6,12,82,10.374885259238502
2025,6,12,83,10.758054782133998
2025,6,12,84,10.758054782133998
2025,6,12,85,11.0510359474515
2025,6,12,86,11.0510359474515
2025,6,12,87,11.0510359474515
2025,6,12,88,11.0510359474515
2025,6,12,89,10.984105543966498
2025,6,12,90,10.984105543966498
2025,6,12,91,10.984105543966498
2025,6,12,92,10.6011732652265
2025,6,12,93,10.5811152056335
2025,6,12,94,10.5811152056335
2025,6,12,95,10.189891801380499
2025,6,12,96,9.797572677320998
