Year,Month,Day,Period,Value
2025,6,12,1,10.796211734275001
2025,6,12,2,10.796211734275001
2025,6,12,3,10.6414112696595
2025,6,12,4,10.929122479913
2025,6,12,5,10.097726939476
2025,6,12,6,10.534927838027997
2025,6,12,7,10.205831054397
2025,6,12,8,10.764031498077
2025,6,12,9,10.343141962307
2025,6,12,10,10.207224671726498
2025,6,12,11,9.7210596022045
2025,6,12,12,10.364922179810002
2025,6,12,13,9.5830027030705
2025,6,12,14,9.5830027030705
2025,6,12,15,9.962100712745498
2025,6,12,16,9.962100712745498
2025,6,12,17,9.800524787899999
2025,6,12,18,9.800524787899999
2025,6,12,19,9.800524787899999
2025,6,12,20,9.538084337693999
2025,6,12,21,9.216927323928498
2025,6,12,22,9.216927323928498
2025,6,12,23,8.8401006969935
2025,6,12,24,8.707719181364501
2025,6,12,25,8.1845651031155
2025,6,12,26,8.3142468117115
2025,6,12,27,8.1803231277185
2025,6,12,28,8.052442073879499
2025,6,12,29,7.680285557378499
2025,6,12,30,7.680285557378499
2025,6,12,31,7.680285557378499
2025,6,12,32,7.680285557378499
2025,6,12,33,7.674658154212501
2025,6,12,34,7.674658154212501
2025,6,12,35,7.949734174266501
2025,6,12,36,7.949734174266501
2025,6,12,37,7.681071954049997
2025,6,12,38,7.8292157522590005
2025,6,12,39,7.701981149423001
2025,6,12,40,7.044687511812499
2025,6,12,41,7.345222254078499
2025,6,12,42,7.5031022284625
2025,6,12,43,7.5031022284625
2025,6,12,44,7.5035613862055
2025,6,12,45,7.702174752079499
2025,6,12,46,7.702174752079499
2025,6,12,47,7.702174752079499
2025,6,12,48,7.702174752079499
2025,6,12,49,7.112736251307499
2025,6,12,50,7.112736251307499
2025,6,12,51,7.112736251307499
2025,6,12,52,7.112736251307499
2025,6,12,53,7.251099581016501
2025,6,12,54,6.3365044695315
2025,6,12,55,6.8646882034225
2025,6,12,56,7.535377756434
2025,6,12,57,7.555043910304001
2025,6,12,58,7.684388653738501
2025,6,12,59,7.375080541972
2025,6,12,60,7.001048344939001
2025,6,12,61,7.120779629056499
2025,6,12,62,7.496311817313
2025,6,12,63,7.645209796306499
2025,6,12,64,7.645209796306499
2025,6,12,65,8.375380326093
2025,6,12,66,8.370183263541001
2025,6,12,67,8.370183263541001
2025,6,12,68,8.150583037058
2025,6,12,69,8.2487900952325
2025,6,12,70,9.084998222762
2025,6,12,71,8.956440147176501
2025,6,12,72,8.956440147176501
2025,6,12,73,8.556109535842
2025,6,12,74,8.556109535842
2025,6,12,75,8.4212180193515
2025,6,12,76,8.4212180193515
2025,6,12,77,8.2127493761445
2025,6,12,78,8.2127493761445
2025,6,12,79,8.478968214771998
2025,6,12,80,8.750154139353
2025,6,12,81,9.087049246665499
2025,6,12,82,9.087049246665499
2025,6,12,83,9.353457891464497
2025,6,12,84,9.783717423392
2025,6,12,85,10.367393583074003
2025,6,12,86,10.495465527794503
2025,6,12,87,10.7651291342045
2025,6,12,88,10.898221387982499
2025,6,12,89,11.240770311149497
2025,6,12,90,11.3755877600255
2025,6,12,91,11.3755877600255
2025,6,12,92,11.5103729568575
2025,6,12,93,11.6612880806455
2025,6,12,94,11.7922283782545
2025,6,12,95,11.626160018473
2025,6,12,96,11.626160018473
