Year,Month,Day,Period,Value
2025,6,12,1,7.380510112112499
2025,6,12,2,7.380510112112499
2025,6,12,3,7.380510112112499
2025,6,12,4,7.380510112112499
2025,6,12,5,7.078317010962999
2025,6,12,6,7.078317010962999
2025,6,12,7,7.078317010962999
2025,6,12,8,7.078317010962999
2025,6,12,9,6.888119259153
2025,6,12,10,6.888119259153
2025,6,12,11,6.888119259153
2025,6,12,12,6.888119259153
2025,6,12,13,6.727470092452998
2025,6,12,14,6.727470092452998
2025,6,12,15,6.727470092452998
2025,6,12,16,6.727470092452998
2025,6,12,17,6.5607736132675
2025,6,12,18,6.5607736132675
2025,6,12,19,4.536453877923
2025,6,12,20,4.536453877923
2025,6,12,21,4.371537208984
2025,6,12,22,4.371537208984
2025,6,12,23,4.371537208984
2025,6,12,24,4.371537208984
2025,6,12,25,3.921602248915999
2025,6,12,26,3.921602248915999
2025,6,12,27,3.921602248915999
2025,6,12,28,3.921602248915999
2025,6,12,29,4.172046963545999
2025,6,12,30,5.0393940056735
2025,6,12,31,5.0393940056735
2025,6,12,32,5.0393940056735
2025,6,12,33,5.2948515810189996
2025,6,12,34,5.2948515810189996
2025,6,12,35,5.7038826151065
2025,6,12,36,6.0905615725789986
2025,6,12,37,5.9949421624235
2025,6,12,38,6.400015758625499
2025,6,12,39,6.400015758625499
2025,6,12,40,6.787473736741499
2025,6,12,41,7.577826616788999
2025,6,12,42,7.9836113669454996
2025,6,12,43,8.377214317603999
2025,6,12,44,8.377214317603999
2025,6,12,45,8.5435168662745
2025,6,12,46,9.117412141650998
2025,6,12,47,9.117412141650998
2025,6,12,48,9.5115177107665
2025,6,12,49,9.395649350136498
2025,6,12,50,9.395649350136498
2025,6,12,51,9.395649350136498
2025,6,12,52,9.395649350136498
2025,6,12,53,9.55504117524
2025,6,12,54,9.55504117524
2025,6,12,55,9.55504117524
2025,6,12,56,9.55504117524
2025,6,12,57,9.793776897382498
2025,6,12,58,9.793776897382498
2025,6,12,59,9.880714577953999
2025,6,12,60,9.880714577953999
2025,6,12,61,9.844178001767999
2025,6,12,62,9.844178001767999
2025,6,12,63,9.844178001767999
2025,6,12,64,9.844178001767999
2025,6,12,65,9.504892754049001
2025,6,12,66,9.504892754049001
2025,6,12,67,9.504892754049001
2025,6,12,68,9.504892754049001
2025,6,12,69,9.329889692233
2025,6,12,70,9.329889692233
2025,6,12,71,9.329889692233
2025,6,12,72,9.329889692233
2025,6,12,73,9.072898373104499
2025,6,12,74,9.072898373104499
2025,6,12,75,9.072898373104499
2025,6,12,76,9.072898373104499
2025,6,12,77,9.347913016650999
2025,6,12,78,9.347913016650999
2025,6,12,79,9.347913016650999
2025,6,12,80,9.347913016650999
2025,6,12,81,9.458562186644999
2025,6,12,82,9.458562186644999
2025,6,12,83,9.458562186644999
2025,6,12,84,9.458562186644999
2025,6,12,85,9.331637521613
2025,6,12,86,9.331637521613
2025,6,12,87,9.331637521613
2025,6,12,88,9.331637521613
2025,6,12,89,9.3369979595695
2025,6,12,90,9.3369979595695
2025,6,12,91,9.3369979595695
2025,6,12,92,9.3369979595695
2025,6,12,93,9.089332217724001
2025,6,12,94,9.089332217724001
2025,6,12,95,9.089332217724001
2025,6,12,96,9.089332217724001
